particip_code,pred_trialN,pred_Cond,pred_Cont,pred_Cat,pred_Obj,pred_predictedValue,pred_acc,pred_rt,rec_session,rec_trialType,rec_Cond,rec_Cat,rec_Obj,rec_response,rec_acc,rec_rt,rec_respConf,rec_rtConf,rec_respCont
6,91,3,5,Instruments,oboe,2,0,0.539595108653884,2,old,3,Instruments,oboe,0,0,3.09432753792498,2,0.917158313444816,6
6,92,3,5,FruitsAndVegs,mushroom,2,0,0.622865606332198,1,old,3,FruitsAndVegs,mushroom,1,1,2.12774529715534,3,9.75008006207645e-05,3
6,93,4,6,FruitsAndVegs,greenolive,3,1,0.761863586725667,2,old,4,FruitsAndVegs,greenolive,1,1,1.02247650118079,5,0.121399085153826,5
6,94,4,4,Instruments,flutetrans2,1,1,0.700398630753625,1,old,4,Instruments,flutetrans2,1,1,1.44615854846779,6,9.97458701021969e-05,6
6,95,1,2,Instruments,saxophone2,2,0,1.46276639931602,1,old,1,Instruments,saxophone2,1,1,1.03517373587238,6,0.382809966802597,4
6,96,3,4,HouseObjects,handbrush,1,0,0.649236366676632,1,old,3,HouseObjects,handbrush,1,1,1.65972604200942,4,0.296179860772099,5
6,97,1,3,HouseObjects,lintroller,1,0,1.55547266558278,2,old,1,HouseObjects,lintroller,1,1,1.6868681490887,3,0.17658774764277,4
6,98,4,4,Instruments,flutetrans2,1,1,0.878048624028452,1,old,4,Instruments,flutetrans2,1,1,1.44615854846779,6,9.97458701021969e-05,6
6,99,1,2,FruitsAndVegs,cherry,2,0,1.36825348151615,2,old,1,FruitsAndVegs,cherry,1,1,1.8941266349284,2,0.411753272986971,5
6,100,4,5,HouseObjects,safetypin,2,1,1.04280926758656,1,old,4,HouseObjects,safetypin,1,1,1.12127624708228,6,0.257259720703587,5
6,101,4,6,FruitsAndVegs,casabamelon,3,1,1.02926114597358,1,old,4,FruitsAndVegs,casabamelon,1,1,0.830694022937678,6,1.22664639248978,6
6,102,4,6,FruitsAndVegs,lettuce2,3,1,0.575534739007708,2,old,4,FruitsAndVegs,lettuce2,0,0,1.31922180240508,3,0.391962854773737,5
6,103,4,4,Instruments,flutetrans,1,1,0.625901922525372,1,old,4,Instruments,flutetrans,1,1,2.21369931200752,6,1.14756650500931,4
6,104,4,4,Instruments,trombone2,1,1,0.492504786059726,2,old,4,Instruments,trombone2,1,1,2.90377696941141,3,1.03470707905944,6
6,105,4,4,Instruments,keyboard,1,1,0.510873103630729,1,old,4,Instruments,keyboard,0,0,2.02914408087963,2,0.373997690097895,4
6,106,4,5,HouseObjects,doormat,2,1,0.825154758465942,1,old,4,HouseObjects,doormat,1,1,2.56038266501855,6,2.07910875283415,5
6,107,1,1,HouseObjects,lintroller2,3,0,0.771556577878073,1,old,1,HouseObjects,lintroller2,1,1,1.03260471794056,3,0.255108609155286,5
6,108,1,2,FruitsAndVegs,pineapple,1,0,1.44610434578499,1,old,1,FruitsAndVegs,pineapple,0,0,2.27068949420936,1,0.601180016354192,6
6,109,1,1,HouseObjects,cushion2,3,0,0.688358243613038,2,old,1,HouseObjects,cushion2,1,1,1.04038104857318,2,0.245164168649353,4
6,110,2,4,Instruments,tuba,1,1,0.538717601448298,2,old,2,Instruments,tuba,0,0,1.844601678662,2,0.376417891005985,6
6,111,4,6,FruitsAndVegs,cauliflower,3,1,1.26984470110619,1,old,4,FruitsAndVegs,cauliflower,1,1,0.993811585474759,6,0.192700396990404,6
6,112,4,5,HouseObjects,garbagebin2,2,1,0.640399073367007,1,old,4,HouseObjects,garbagebin2,1,1,1.46237896190723,5,0.00537120382068679,5
6,113,3,4,HouseObjects,handvacuum2,1,0,0.651526994071901,1,old,3,HouseObjects,handvacuum2,1,1,1.17885881086113,5,0.427244675403927,5
6,114,4,6,FruitsAndVegs,cauliflower,3,1,1.10998411441687,1,old,4,FruitsAndVegs,cauliflower,1,1,0.993811585474759,6,0.192700396990404,6
6,115,4,6,FruitsAndVegs,cauliflower,3,1,0.592550874454901,1,old,4,FruitsAndVegs,cauliflower,1,1,0.993811585474759,6,0.192700396990404,6
6,116,2,6,FruitsAndVegs,onion,3,1,0.498730725550558,1,old,2,FruitsAndVegs,onion,1,1,1.5758955560741,4,0.24080196977593,6
6,117,4,6,FruitsAndVegs,cabbage,3,1,0.413135924143717,1,old,4,FruitsAndVegs,cabbage,1,1,3.16253961372422,6,3.7109928628779,6
6,118,4,4,Instruments,drums,1,1,0.623605842760298,1,old,4,Instruments,drums,1,1,0.90459963248577,6,1.4061941234977,4
6,119,4,4,Instruments,drums,1,1,0.522969938640017,1,old,4,Instruments,drums,1,1,0.90459963248577,6,1.4061941234977,4
6,120,4,4,Instruments,trumpet,1,1,0.517647805914748,2,old,4,Instruments,trumpet,1,1,1.59097707027104,2,0.398217659676448,6
6,121,1,2,HouseObjects,glass,1,0,1.73601528967265,1,old,1,HouseObjects,glass,1,1,1.01816978806164,6,2.80328892025864,1
6,122,3,6,Instruments,metronome2,3,0,0.722453697584569,1,old,3,Instruments,metronome2,1,1,1.54315709526418,6,0.104970199696254,4
6,123,2,6,FruitsAndVegs,grape,3,1,0.869567657704465,2,old,2,FruitsAndVegs,grape,0,0,2.63519047771115,2,1.1637724856846,5
6,124,1,3,FruitsAndVegs,cauliflower2,1,0,1.5201722428319,2,old,1,FruitsAndVegs,cauliflower2,0,0,2.11826847551856,2,1.04360819689464,5
6,125,2,4,Instruments,pipepiano2,1,1,0.698586206242908,2,old,2,Instruments,pipepiano2,0,0,1.70457352546509,2,0.382511370582506,6
6,126,4,6,FruitsAndVegs,kiwi2,3,1,0.829124388284981,2,old,4,FruitsAndVegs,kiwi2,0,0,2.04920679575298,4,0.0455399316269904,5
6,127,3,4,FruitsAndVegs,cucumber2,1,0,0.639226497907657,2,old,3,FruitsAndVegs,cucumber2,0,0,1.33095300942659,3,0.283367485390045,5
6,128,2,6,FruitsAndVegs,corn2,3,1,0.850450764817651,1,old,2,FruitsAndVegs,corn2,0,0,3.72578925138805,2,9.81422490440309e-05,2
6,129,2,5,HouseObjects,saw2,2,1,0.852870003553107,1,old,2,HouseObjects,saw2,0,0,2.23238739377121,2,0.632098996662535,5
6,130,2,6,FruitsAndVegs,greenolive2,3,1,1.17512331122998,1,old,2,FruitsAndVegs,greenolive2,1,1,1.34382792643737,4,0.368618147389498,6
6,131,1,1,Instruments,gong,3,0,1.17823852604488,1,old,1,Instruments,gong,0,0,3.22554341465002,2,0.406201820878778,4
6,132,4,4,Instruments,flutetrans,1,1,0.73276697343681,1,old,4,Instruments,flutetrans,1,1,2.21369931200752,6,1.14756650500931,4
6,133,2,4,Instruments,tambourine2,1,1,0.503090999962296,1,old,2,Instruments,tambourine2,0,0,2.66289674246218,2,0.00010102876694873,2
6,134,4,5,HouseObjects,towel,2,1,0.649639198905788,2,old,4,HouseObjects,towel,1,1,1.28535887505859,3,0.0940831444459036,4
6,135,1,2,FruitsAndVegs,peppergreen,3,1,1.24403906066436,2,old,1,FruitsAndVegs,peppergreen,0,0,1.71921468235087,4,0.317250618478283,6
6,136,4,6,FruitsAndVegs,cherrytomato2,3,1,0.782518362393603,2,old,4,FruitsAndVegs,cherrytomato2,0,0,1.66025139170233,2,1.02519273245707,5
6,137,1,2,HouseObjects,rug2,3,0,0.848820833605714,1,old,1,HouseObjects,rug2,1,1,2.32179819705198,3,0.307002129266039,5
6,138,1,1,HouseObjects,glass2,1,0,1.3474877346307,2,old,1,HouseObjects,glass2,1,1,1.37852281786036,5,2.04668813187163,1
6,139,4,5,HouseObjects,garbagebin2,2,1,0.821845183498226,1,old,4,HouseObjects,garbagebin2,1,1,1.46237896190723,5,0.00537120382068679,5
6,140,4,6,FruitsAndVegs,cabbage,3,1,0.823936960601714,1,old,4,FruitsAndVegs,cabbage,1,1,3.16253961372422,6,3.7109928628779,6
6,141,1,1,Instruments,harp,1,1,1.39516947662923,1,old,1,Instruments,harp,1,1,1.27618642285233,6,0.389370103133842,4
6,142,4,4,Instruments,flutetrans2,1,1,0.741397077508736,1,old,4,Instruments,flutetrans2,1,1,1.44615854846779,6,9.97458701021969e-05,6
6,143,1,1,FruitsAndVegs,onion2,1,0,0.784020003047772,1,old,1,FruitsAndVegs,onion2,1,1,2.55116948042996,5,0.0916776969679631,6
6,144,4,6,FruitsAndVegs,lettuce2,3,1,0.858386175706983,2,old,4,FruitsAndVegs,lettuce2,0,0,1.31922180240508,3,0.391962854773737,5
6,145,1,1,Instruments,guitarcase2,1,1,0.772790732851718,2,old,1,Instruments,guitarcase2,1,1,1.21786458487622,5,0.0892238199012354,6
6,146,4,4,Instruments,keyboard,1,1,0.655756732914597,1,old,4,Instruments,keyboard,0,0,2.02914408087963,2,0.373997690097895,4
6,147,3,5,FruitsAndVegs,cucumber,2,0,0.93882754642982,1,old,3,FruitsAndVegs,cucumber,1,1,1.9858537237742,4,1.41643876390299,6
6,148,4,4,Instruments,flutetrans2,1,1,0.614048518822528,1,old,4,Instruments,flutetrans2,1,1,1.44615854846779,6,9.97458701021969e-05,6
6,149,1,3,Instruments,electricdrumset2,3,0,1.17647196550388,1,old,1,Instruments,electricdrumset2,1,1,3.13914775958983,3,0.467260416655336,4
6,150,4,6,FruitsAndVegs,greenolive,3,1,0.794744770799298,2,old,4,FruitsAndVegs,greenolive,1,1,1.02247650118079,5,0.121399085153826,5
6,151,3,6,Instruments,tambourine,3,0,1.1813136501587,1,old,3,Instruments,tambourine,1,1,2.20421062357491,5,0.937412181170657,4
6,152,4,6,FruitsAndVegs,cabbage,3,1,0.671773805806879,1,old,4,FruitsAndVegs,cabbage,1,1,3.16253961372422,6,3.7109928628779,6
6,153,1,2,FruitsAndVegs,cabbage2,1,0,1.49109711818164,2,old,1,FruitsAndVegs,cabbage2,0,0,1.56898999749683,6,0.0290946889435872,5
6,154,2,5,HouseObjects,thread2,2,1,0.757773684628773,1,old,2,HouseObjects,thread2,1,1,1.80447111750254,5,0.0907982653588988,5
6,155,4,6,FruitsAndVegs,cabbage,3,1,0.824904912675265,1,old,4,FruitsAndVegs,cabbage,1,1,3.16253961372422,6,3.7109928628779,6
6,156,1,1,HouseObjects,handbrush2,1,0,1.05163405253552,2,old,1,HouseObjects,handbrush2,0,0,1.55367018363904,5,0.124823159538209,4
6,157,4,5,HouseObjects,safetypin,2,1,0.9498929255642,1,old,4,HouseObjects,safetypin,1,1,1.12127624708228,6,0.257259720703587,5
6,158,2,4,Instruments,speaker2,1,1,0.65632730507059,1,old,2,Instruments,speaker2,1,1,1.34481865010457,5,1.15349609340774,4
6,159,4,4,Instruments,trumpet,1,1,0.54746092192363,2,old,4,Instruments,trumpet,1,1,1.59097707027104,2,0.398217659676448,6
